t,dist_m1,dist_m2,dist_m3,valid_m1,valid_m2,valid_m3
1612483840.6094134,7.1020002365112305,12.149999618530273,6.5450000762939453,1,1,1
1612483840.7134717,7.1020002365112305,0,0,1,0,0
1612483841.1095467,6.9149999618530273,12.277000427246094,6.750999927520752,1,1,1
1612483841.2095592,6.8959999084472656,12.244000434875488,6.7319998741149902,1,1,1
1612483841.309562,6.8819999694824219,12.319000244140625,6.7979998588562012,1,1,1
1612483841.4095912,6.7600002288818359,12.361000061035156,6.8350000381469727,1,1,1
1612483841.5116568,6.7280001640319824,12.355999946594238,6.8870000839233398,1,1,1
1612483841.6095924,6.6810002326965332,0,0,1,0,0
1612483842.0096643,6.5819997787475586,0,0,1,0,0
1612483842.1096513,6.5069999694824219,0,0,1,0,0
1612483842.2096729,6.5819997787475586,0,0,1,0,0
1612483842.3097086,6.4180002212524414,12.534999847412109,7.3090000152587891,1,1,1
1612483842.4097023,6.3340001106262207,12.543999671936035,7.2989997863769531,1,1,1
1612483842.5122187,6.3660001754760742,0,0,1,0,0
1612483842.9140675,6.2779998779296875,12.763999938964844,7.6599998474121094,1,1,1
1612483843.0097694,6.2729997634887695,12.807000160217285,7.6779999732971191,1,1,1
1612483843.1098163,6.3379998207092285,12.890000343322754,0,1,1,0
1612483843.2098258,6.3379998207092285,12.918999671936035,0,1,1,0
1612483843.3098335,6.3850002288818359,13.055000305175781,7.9180002212524414,1,1,1
1612483843.4098935,6.3660001754760742,0,0,1,0,0
1612483843.8098962,0,13.288999557495117,8.2650003433227539,0,1,1
1612483844.1099639,6.5679998397827148,13.491000175476074,8.4709997177124023,1,1,1
1612483844.2100151,6.624000072479248,13.541999816894531,8.5220003128051758,1,1,1
1612483844.3100259,6.6760001182556152,0,0,1,0,0
1612483844.610744,0,0,8.7749996185302734,0,0,1
1612483844.8101277,6.6669998168945312,13.789999961853027,8.8179998397827148,1,1,1
1612483844.9101079,6.690000057220459,13.842000007629395,8.8690004348754883,1,1,1
1612483845.0142193,6.690000057220459,13.861000061035156,8.8739995956420898,1,1,1
1612483845.1108873,6.7230000495910645,13.916999816894531,8.8649997711181641,1,1,1
1612483845.2107041,6.7600002288818359,0,0,1,0,0
1612483845.6107228,6.6430001258850098,13.954999923706055,9.0150003433227539,1,1,1
1612483845.7108841,6.5920000076293945,13.968999862670898,9.0760002136230469,1,1,1
1612483845.8107646,6.6339998245239258,13.987000465393066,9.1549997329711914,1,1,1
1612483845.9108081,6.5920000076293945,13.982999801635742,9.1829996109008789,1,1,1
1612483846.0108078,6.5780000686645508,13.991999626159668,9.1689996719360352,1,1,1
1612483846.1108711,6.5590000152587891,0,0,1,0,0
1612483846.5108135,6.619999885559082,14.038999557495117,8.9910001754760742,1,1,1
1612483846.6110728,6.624000072479248,14.057999610900879,9.0100002288818359,1,1,1
